No,Name,Gen,Type1,Type2,Total,HP,Attack,Defense,SPAttack,SPDefense,Speed,Ability1,Ability2,HiddenAbility,Height,Weight,Category
1,Bulbasaur,1,Grass,Poison,318,45,49,49,65,65,45,Overgrow,,Chlorophyll,0.7,6.9,Ordinary
2,Ivysaur,1,Grass,Poison,405,60,62,63,80,80,60,Overgrow,,Chlorophyll,1,13,Ordinary
3,Venusaur,1,Grass,Poison,525,80,82,83,100,100,80,Overgrow,,Chlorophyll,2,100,Ordinary
4,Charmander,1,Fire,,309,39,52,43,60,50,65,Blaze,,Solar Power,0.6,8.5,Ordinary
5,Charmeleon,1,Fire,,405,58,64,58,80,65,80,Blaze,,Solar Power,1.1,19,Ordinary
6,Charizard,1,Fire,Flying,534,78,84,78,109,85,100,Blaze,,Solar Power,1.7,90.5,Ordinary
7,Squirtle,1,Water,,314,44,48,65,50,64,43,Torrent,,Rain Dish,0.5,9,Ordinary
8,Wartortle,1,Water,,405,59,63,80,65,80,58,Torrent,,Rain Dish,1,22.5,Ordinary
9,Blastoise,1,Water,,530,79,83,100,85,105,78,Torrent,,Rain Dish,1.6,85.5,Ordinary
10,Caterpie,1,Bug,,195,45,30,35,20,20,45,Shield Dust,,Run Away,0.3,2.9,Ordinary
11,Metapod,1,Bug,,205,50,20,55,25,25,30,Shed Skin,,,0.7,9.9,Ordinary
12,Butterfree,1,Bug,Flying,395,60,45,50,90,80,70,Compound Eyes,,Tinted Lens,1.1,32,Ordinary
13,Weedle,1,Bug,Poison,195,40,35,30,20,20,50,Shield Dust,,Run Away,0.3,3.2,Ordinary
14,Kakuna,1,Bug,Poison,205,45,25,50,25,25,35,Shed Skin,,,0.6,10,Ordinary
15,Beedrill,1,Bug,Poison,395,65,90,40,45,80,75,Swarm,,Sniper,1,29.5,Ordinary
16,Pidgey,1,Normal,Flying,251,40,45,40,35,35,56,Keen Eye,Tangled Feet,Big Pecks,0.3,1.8,Ordinary
17,Pidgeotto,1,Normal,Flying,349,63,60,55,50,50,71,Keen Eye,Tangled Feet,Big Pecks,1.1,30,Ordinary
18,Pidgeot,1,Normal,Flying,479,83,80,75,70,70,101,Keen Eye,Tangled Feet,Big Pecks,1.5,39.5,Ordinary
19,Rattata,1,Normal,,253,30,56,35,25,35,72,Run Away,Guts,Hustle,0.3,3.5,Ordinary
20,Raticate,1,Normal,,413,55,81,60,50,70,97,Run Away,Guts,Hustle,0.7,18.5,Ordinary
21,Spearow,1,Normal,Flying,262,40,60,30,31,31,70,Keen Eye,,Sniper,0.3,2,Ordinary
22,Fearow,1,Normal,Flying,442,65,90,65,61,61,100,Keen Eye,,Sniper,1.2,38,Ordinary
23,Ekans,1,Poison,,288,35,60,44,40,54,55,Intimidate,Shed Skin,Unnerve,2,6.9,Ordinary
24,Arbok,1,Poison,,448,60,95,69,65,79,80,Intimidate,Shed Skin,Unnerve,3.5,65,Ordinary
25,Pikachu,1,Electric,,320,35,55,40,50,50,90,Static,,Lightning Rod,0.4,6,Ordinary
26,Raichu,1,Electric,,485,60,90,55,90,80,110,Static,,Lightning Rod,0.8,30,Ordinary
27,Sandshrew,1,Ground,,300,50,75,85,20,30,40,Sand Veil,,Sand Rush,0.6,12,Ordinary
28,Sandslash,1,Ground,,450,75,100,110,45,55,65,Sand Veil,,Sand Rush,1,29.5,Ordinary
29,Nidoran F,1,Poison,,275,55,47,52,40,40,41,Poison Point,Rivalry,Hustle,0.4,7,Ordinary
30,Nidorina,1,Poison,,365,70,62,67,55,55,56,Poison Point,Rivalry,Hustle,0.8,20,Ordinary
31,Nidoqueen,1,Poison,Ground,505,90,92,87,75,85,76,Poison Point,Rivalry,Sheer Force,1.3,60,Ordinary
32,Nidoran M,1,Poison,,273,46,57,40,40,40,50,Poison Point,Rivalry,Hustle,0.5,9,Ordinary
33,Nidorino,1,Poison,,365,61,72,57,55,55,65,Poison Point,Rivalry,Hustle,0.9,19.5,Ordinary
34,Nidoking,1,Poison,Ground,505,81,102,77,85,75,85,Poison Point,Rivalry,Sheer Force,1.4,62,Ordinary
35,Clefairy,1,Fairy,,323,70,45,48,60,65,35,Cute Charm,Magic Guard,Friend Guard,0.6,7.5,Ordinary
36,Clefable,1,Fairy,,483,95,70,73,95,90,60,Cute Charm,Magic Guard,Unaware,1.3,40,Ordinary
37,Vulpix,1,Fire,,299,38,41,40,50,65,65,Flash Fire,,Drought,0.6,9.9,Ordinary
38,Ninetales,1,Fire,,505,73,76,75,81,100,100,Flash Fire,,Drought,1.1,19.9,Ordinary
39,Jigglypuff,1,Normal,Fairy,270,115,45,20,45,25,20,Cute Charm,Competitive,Friend Guard,0.5,5.5,Ordinary
40,Wigglytuff,1,Normal,Fairy,435,140,70,45,85,50,45,Cute Charm,Competitive,Frisk,1,12,Ordinary
41,Zubat,1,Poison,Flying,245,40,45,35,30,40,55,Inner Focus,,Infiltrator,0.8,7.5,Ordinary
42,Golbat,1,Poison,Flying,455,75,80,70,65,75,90,Inner Focus,,Infiltrator,1.6,55,Ordinary
43,Oddish,1,Grass,Poison,320,45,50,55,75,65,30,Chlorophyll,,Run Away,0.5,5.4,Ordinary
44,Gloom,1,Grass,Poison,395,60,65,70,85,75,40,Chlorophyll,,Stench,0.8,8.6,Ordinary
45,Vileplume,1,Grass,Poison,490,75,80,85,110,90,50,Chlorophyll,,Effect Spore,1.2,18.6,Ordinary
46,Paras,1,Bug,Grass,285,35,70,55,45,55,25,Effect Spore,Dry Skin,Damp,0.3,5.4,Ordinary
47,Parasect,1,Bug,Grass,405,60,95,80,60,80,30,Effect Spore,Dry Skin,Damp,1,29.5,Ordinary
48,Venonat,1,Bug,Poison,305,60,55,50,40,55,45,Compound Eyes,Tinted Lens,Run Away,1,30,Ordinary
49,Venomoth,1,Bug,Poison,450,70,65,60,90,75,90,Shield Dust,Tinted Lens,Wonder Skin,1.5,12.5,Ordinary
50,Diglett,1,Ground,,265,10,55,25,35,45,95,Sand Veil,Arena Trap,Sand Force,0.2,0.8,Ordinary
51,Dugtrio,1,Ground,,425,35,100,50,50,70,120,Sand Veil,Arena Trap,Sand Force,0.7,33.3,Ordinary
52,Meowth,1,Normal,,290,40,45,35,40,40,90,Pickup,Technician,Unnerve,0.4,4.2,Ordinary
53,Persian,1,Normal,,440,65,70,60,65,65,115,Limber,Technician,Unnerve,1,32,Ordinary
54,Psyduck,1,Water,,320,50,52,48,65,50,55,Damp,Cloud Nine,Swift Swim,0.8,19.6,Ordinary
55,Golduck,1,Water,,500,80,82,78,95,80,85,Damp,Cloud Nine,Swift Swim,1.7,76.6,Ordinary
56,Mankey,1,Fighting,,305,40,80,35,35,45,70,Vital Spirit,Anger Point,Defiant,0.5,28,Ordinary
57,Primeape,1,Fighting,,455,65,105,60,60,70,95,Vital Spirit,Anger Point,Defiant,1,32,Ordinary
58,Growlithe,1,Fire,,350,55,70,45,70,50,60,Intimidate,Flash Fire,Justified,0.7,19,Ordinary
59,Arcanine,1,Fire,,555,90,110,80,100,80,95,Intimidate,Flash Fire,Justified,1.9,155,Ordinary
60,Poliwag,1,Water,,300,40,50,40,40,40,90,Water Absorb,Damp,Swift Swim,0.6,12.4,Ordinary
